source,target,weight
medulla oblongata,hippocampus pars dorsolaterale,7
nuclei vestibulares,Arcopallium intermedium,7
secondary visual cortex,V4,2
nuclei vestibulares,Area temporo-parieto-occipitalis,7
nuclei vestibulares,Nidopallium frontale  pars lateralis,7
nuclei vestibulares,Nidopallium caudolaterale,7
temporal area ta,nucleus caudatus; genu  medial  dorsal,2
lateral basal nucleus of the amygdala,periamygdaloid cortex,2
prefrontal area fd,area 24c (rostral part of the cingulate sulcus),2
cortical area fl,temporopolar area tg,2
cortical area fl,nucleus caudatus; tail,2
temporal area ta,nucleus caudatus; tail,2
anterior cingulate cortex,hand-arm representation in mi (l86),2
6V,second somatosensory area of cerebral cortex,2
lateral basal nucleus of the amygdala,periamygdaloid cortex,2
medial basal nucleus of the amygdala,accessory basal nucleus (amygdala),2
nuclei vestibulares,Striatum laterale,7
pons,Nidopallium frontale  pars lateralis,7
anterior cingulate cortex,nucleus caudatus; tail,2
lateral paragigantocellular nucleus,nucleus ambiguus,1
pons,Hyperpallium apicale,7
pons,Nucleus interstitialis  hyperpallii apicalis,7
tegmentum,Hyperpallium densocellulare,7
nucleus geniculatus lateralis pars dorsalis principalis,nucleus isthmo-opticus,7
tectum opticum,nucleus isthmo-opticus,7
tectum opticum,nucleus isthmo-opticus,7
tectum opticum,nucleus isthmo-opticus,7
tectum opticum,nucleus isthmo-opticus,7
tectum opticum,neostriatum dorsocaudale,7
medulla oblongata,neostriatum dorsolaterale,7
medulla oblongata,archistriatum intermedium pars ventralis,7
medulla oblongata,neostriatum dorsale,7
